299.3903 	EXP 	stopr: autoDraw = False
299.3903 	EXP 	text_6: foreColor = <psychopy.colors.Color: red, alpha=1.0>
299.3903 	EXP 	text_6: autoDraw = True
299.3903 	EXP 	text_5: autoDraw = True
299.3903 	EXP 	stopl: autoDraw = True
299.3903 	EXP 	stopr: autoDraw = True
299.5420 	EXP 	New trial (rep=0, index=11): {'word': 'BLUE', 'color': 'red', 'correct': 'r', 'rand': 0.06407532486309186}
299.5522 	DATA 	Keypress: r
299.5569 	EXP 	text_6: autoDraw = False
299.5569 	EXP 	text_5: autoDraw = False
299.5569 	EXP 	stopl: autoDraw = False
299.5569 	EXP 	stopr: autoDraw = False
299.5569 	EXP 	text_6: foreColor = <psychopy.colors.Color: red, alpha=1.0>
299.5569 	EXP 	text_6: autoDraw = True
299.5569 	EXP 	text_5: autoDraw = True
299.5569 	EXP 	stopl: autoDraw = True
299.5569 	EXP 	stopr: autoDraw = True
299.5753 	EXP 	New trial (rep=0, index=12): {'word': 'YELLOW', 'color': 'green', 'correct': 'g', 'rand': 0.7266879439974213}
299.5852 	DATA 	Keypress: g
299.5903 	EXP 	text_6: autoDraw = False
299.5903 	EXP 	text_5: autoDraw = False
299.5903 	EXP 	stopl: autoDraw = False
299.5903 	EXP 	stopr: autoDraw = False
299.5903 	EXP 	text_6: foreColor = <psychopy.colors.Color: green, alpha=1.0>
299.5903 	EXP 	text_6: autoDraw = True
299.5903 	EXP 	text_5: autoDraw = True
299.5903 	EXP 	stopl: autoDraw = True
299.5903 	EXP 	stopr: autoDraw = True
307.8564 	EXP 	New trial (rep=0, index=1): OrderedDict([('Psubj', 1), ('Attribute', 'est2'), ('Value', 30), ('cond', 0.1), ('Unique', None)])
307.8717 	DATA 	Keypress: space
307.8777 	EXP 	text_6: autoDraw = False
307.8777 	EXP 	text_5: autoDraw = False
307.8777 	EXP 	stopl: autoDraw = False
307.8777 	EXP 	stopr: autoDraw = False
307.8777 	EXP 	text_4: autoDraw = True
307.8777 	EXP 	text_2: autoDraw = True
307.8777 	EXP 	text_3: autoDraw = True
308.6079 	EXP 	Sound sound_1 set volume 1.000
308.6207 	EXP 	Sound sound_1 started
308.6186 	EXP 	Imported C:/Users/carelab/Desktop/Erik/resources/stroop.xlsx as conditions, 72 conditions, 4 params
308.6199 	EXP 	Created sequence: random, trialTypes=72, nReps=25, seed=None
308.6202 	EXP 	New trial (rep=0, index=0): {'word': 'RED', 'color': 'yellow', 'correct': 'y', 'rand': 0.796029677549436}
308.6359 	DATA 	Keypress: space
308.6420 	EXP 	text_4: autoDraw = False
308.6420 	EXP 	text_2: autoDraw = False
308.6420 	EXP 	text_3: autoDraw = False
308.6420 	EXP 	text_6: foreColor = <psychopy.colors.Color: yellow, alpha=1.0>
308.6420 	EXP 	text_6: autoDraw = True
308.6420 	EXP 	text_5: autoDraw = True
308.6420 	EXP 	stopl: autoDraw = True
308.6420 	EXP 	stopr: autoDraw = True
310.3229 	EXP 	New trial (rep=0, index=1): {'word': 'YELLOW', 'color': 'green', 'correct': 'g', 'rand': 0.7266879439974213}
310.3350 	DATA 	Keypress: r
310.3404 	EXP 	text_6: autoDraw = False
310.3404 	EXP 	text_5: autoDraw = False
310.3404 	EXP 	stopl: autoDraw = False
310.3404 	EXP 	stopr: autoDraw = False
310.3404 	EXP 	text_6: foreColor = <psychopy.colors.Color: green, alpha=1.0>
310.3404 	EXP 	text_6: autoDraw = True
310.3404 	EXP 	text_5: autoDraw = True
310.3404 	EXP 	stopl: autoDraw = True
310.3404 	EXP 	stopr: autoDraw = True
310.5715 	EXP 	New trial (rep=0, index=2): {'word': 'RED', 'color': 'green', 'correct': 'g', 'rand': 0.3824820377633562}
310.5819 	DATA 	Keypress: r
310.5871 	EXP 	text_6: autoDraw = False
310.5871 	EXP 	text_5: autoDraw = False
310.5871 	EXP 	stopl: autoDraw = False
310.5871 	EXP 	stopr: autoDraw = False
310.5871 	EXP 	text_6: foreColor = <psychopy.colors.Color: green, alpha=1.0>
