Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,textbox.started,key_resp_9.started,textbox_2.started,polygon.started,key_resp_9.keys,key_resp_4.started,textbox_3.started,textbox_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp.started,text_4.started,text_2.started,text_3.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_6.started,text_5.started,stopb.started,stopl.started,stopr.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,est20,60,0.1,None,0,19,19,19,,,,,,,,,,,,,,,,,,,2232.3814175999723,2232.3814175999723,2232.3814175999723,2232.3814175999723,['space'],[7.378653199994005],2325.283988500014,2325.283988500014,2325.283988500014,2325.283988500014,2325.283988500014,2325.283988500014,space,0.34154839999973774,None,0.07731680001597852,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est21,120,0.1,None,0,20,20,20,,,,,,,,,,,,,,,,,,,2325.6646630999167,2325.6646630999167,2325.6646630999167,2325.6646630999167,['space'],[6.82218230003491],2464.192223299993,2464.192223299993,2464.192223299993,2464.192223299993,2464.192223299993,2464.192223299993,space,1.2621405000099912,None,0.12419449992012233,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est22,120,0.0,None,0,21,21,21,,,,,,,,,,,,,,,,,,,2465.532312999945,2465.532312999945,2465.532312999945,2465.532312999945,['space'],[3.8592617000686005],2469.6133152999682,2469.6133152999682,2469.6133152999682,2469.6133152999682,2469.6133152999682,2469.6133152999682,space,147.4027978000231,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est23,30,0.0,None,0,22,22,22,,,,,,,,,,,,,,,,,,,2617.0448649999453,2617.0448649999453,2617.0448649999453,2617.0448649999453,['space'],[4.890805599978194],2622.1486899999436,2622.1486899999436,2622.1486899999436,2622.1486899999436,2622.1486899999436,2622.1486899999436,space,71.15271689998917,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est24,105,0.1,None,0,23,23,23,,,,,,,,,,,,,,,,,,,2693.320085400017,2693.320085400017,2693.320085400017,2693.320085400017,['space'],[5.557242599898018],2804.6558212999953,2804.6558212999953,2804.6558212999953,2804.6558212999953,2804.6558212999953,2804.6558212999953,space,0.3711917999899015,None,0.14235759992152452,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est25,30,0.1,None,0,24,24,24,,,,,,,,,,,,,,,,,,,2805.0698894999223,2805.0698894999223,2805.0698894999223,2805.0698894999223,['space'],[6.116813700064085],2856.8890848999145,2856.8890848999145,2856.8890848999145,2856.8890848999145,2856.8890848999145,2856.8890848999145,space,0.4609183999709785,None,0.31389600003603846,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est26,60,0.0,None,0,25,25,25,,,,,,,,,,,,,,,,,,,2857.437554199947,2857.437554199947,2857.437554199947,2857.437554199947,['space'],[1.6370043000206351],2859.219310299959,2859.219310299959,2859.219310299959,2859.219310299959,2859.219310299959,2859.219310299959,space,67.69273619994055,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est27,105,0.1,None,0,26,26,26,,,,,,,,,,,,,,,,,,,2926.9311350999633,2926.9311350999633,2926.9311350999633,2926.9311350999633,['space'],[3.813374500023201],3037.2477383000078,3037.2477383000078,3037.2477383000078,3037.2477383000078,3037.2477383000078,3037.2477383000078,space,0.7636388000100851,None,0.23730649997014552,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est28,60,0.1,None,0,27,27,27,,,,,,,,,,,,,,,,,,,3038.0322432999965,3038.0322432999965,3038.0322432999965,3038.0322432999965,['space'],[1.2950326999416575],3113.8752124999883,3113.8752124999883,3113.8752124999883,3113.8752124999883,3113.8752124999883,3113.8752124999883,space,0.7767124000238255,None,0.05658849992323667,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est29,120,0.0,None,0,28,28,28,,,,,,,,,,,,,,,,,,,3114.7290046999697,3114.7290046999697,3114.7290046999697,3114.7290046999697,['space'],[0.022627800004556775],3115.026215699967,3115.026215699967,3115.026215699967,3115.026215699967,3115.026215699967,3115.026215699967,space,159.26405190001242,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est30,30,0.0,None,0,29,29,29,,,,,,,,,,,,,,,,,,,3274.3077026000246,3274.3077026000246,3274.3077026000246,3274.3077026000246,['space'],[2.805639199912548],3277.2729971000226,3277.2729971000226,3277.2729971000226,3277.2729971000226,3277.2729971000226,3277.2729971000226,space,56.97073449997697,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est31,60,0.0,None,0,30,30,30,,,,,,,,,,,,,,,,,,,3334.272423599963,3334.272423599963,3334.272423599963,3334.272423599963,['space'],[0.9005705000599846],3335.4109416999854,3335.4109416999854,3335.4109416999854,3335.4109416999854,3335.4109416999854,3335.4109416999854,space,84.38667500007432,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est32,30,0.1,None,0,31,31,31,,,,,,,,,,,,,,,,,,,3419.8297055999283,3419.8297055999283,3419.8297055999283,3419.8297055999283,['space'],[0.5951213000807911],3460.0022180000087,3460.0022180000087,3460.0022180000087,3460.0022180000087,3460.0022180000087,3460.0022180000087,space,1.433303099940531,None,0.04268929990939796,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
